date,state_id,state_label,state_prob_0,state_prob_1,state_prob_2,state_prob_3
2021-10-25,1,state_1,6.278565678871865e-184,0.9999260238175276,0.0,7.397618247170184e-05
2021-10-26,1,state_1,2.0488210030509576e-187,0.9998990810990589,0.0,0.0001009189009409056
2021-10-27,1,state_1,8.048921998821314e-187,0.9998281049825317,0.0,0.00017189501746681075
2021-10-28,1,state_1,1.7128434283860048e-192,0.9998793008211059,0.0,0.00012069917889568505
2021-10-29,1,state_1,1.6736844112763184e-190,0.9998697975337231,0.0,0.00013020246627700501
2021-11-01,1,state_1,1.9762470731917206e-194,0.9998828138270088,0.0,0.00011718617299235215
2021-11-02,1,state_1,1.591227164544644e-194,0.9998894582532761,0.0,0.00011054174672250418
2021-11-03,1,state_1,1.722932794528538e-198,0.9999192480315946,0.0,8.075196840552255e-05
2021-11-04,1,state_1,5.6504242055720815e-201,0.9999256079975993,0.0,7.439200240111823e-05
2021-11-05,1,state_1,3.3040385769211966e-206,0.9999153450595392,0.0,8.465494046025701e-05
2021-11-08,1,state_1,3.538484511463566e-207,0.9998983271921087,0.0,0.00010167280789163827
2021-11-09,1,state_1,2.1505120473418778e-206,0.9998798468628302,0.0,0.000120153137168329
2021-11-10,1,state_1,6.317876062917037e-201,0.9998387549570218,0.0,0.00016124504297699609
2021-11-11,1,state_1,2.470555907285087e-199,0.9998382767640777,0.0,0.00016172323592271518
2021-11-12,1,state_1,3.3199741668828175e-200,0.9997751429950481,0.0,0.0002248570049507507
2021-11-15,1,state_1,3.905479601802506e-199,0.9997492901189318,0.0,0.0002507098810685799
2021-11-16,1,state_1,2.9617655133413036e-198,0.9997061974664128,0.0,0.00029380253358669183
2021-11-17,1,state_1,7.856920658714361e-196,0.9995357027862017,0.0,0.0004642972137969754
2021-11-18,1,state_1,5.6469427407967835e-195,0.999488134820939,0.0,0.0005118651790618568
2021-11-19,1,state_1,5.390144066530355e-193,0.9992915543936409,0.0,0.0007084456063592632
2021-11-22,1,state_1,1.7587868178336706e-190,0.9993407040280159,0.0,0.0006592959719824318
2021-11-23,1,state_1,3.246308301351461e-190,0.999277076553081,0.0,0.0007229234469206512
2021-11-24,1,state_1,3.268378424792907e-190,0.9991688668549128,0.0,0.0008311331450878598
2021-11-26,1,state_1,2.5695891529651826e-182,0.9504738901308553,0.0,0.049526109869144436
2021-11-29,1,state_1,9.432883943735489e-187,0.9986993588776523,0.0,0.001300641122347698
2021-11-30,1,state_1,2.0929878432108718e-182,0.94740118819797,0.0,0.05259881180202947
2021-12-01,1,state_1,9.91690310430971e-184,0.8930807645244232,0.0,0.10691923547557511
