,consensus
2018-09-02,0.0
2018-09-07,0.0
2018-09-12,0.0
2018-09-17,0.0
2018-09-22,0.0
2018-09-27,0.0
2018-10-02,0.0
2018-10-07,0.0
2018-10-12,0.0625
2018-10-17,0.0
2018-10-22,0.0
2018-10-27,0.0625
2018-11-01,0.0625
2018-11-06,0.0
2018-11-11,0.0
2018-11-16,0.0
2018-11-21,0.0625
2018-11-26,0.0
2018-12-01,0.0
2018-12-06,0.0625
2018-12-11,0.0625
2018-12-16,0.0625
2018-12-21,0.0
2018-12-26,0.0
2018-12-31,0.0
2019-01-05,0.125
2019-01-10,0.0625
2019-01-15,0.0
2019-01-20,0.0
2019-01-25,0.0625
2019-01-30,0.0
2019-02-04,0.0
2019-02-09,0.0
2019-02-14,0.0
2019-02-19,0.0
2019-02-24,0.0
2019-03-01,0.0
2019-03-06,0.0
2019-03-11,0.0
2019-03-16,0.0
2019-03-21,0.0
2019-03-26,0.0625
2019-03-31,0.0625
2019-04-05,0.125
2019-04-10,0.0625
2019-04-15,0.125
2019-04-20,0.125
2019-04-25,0.125
2019-04-30,0.0
2019-05-05,0.0625
2019-05-10,0.125
2019-05-15,0.0625
2019-05-23,0.0625
2019-05-28,0.1875
2019-06-02,0.25
2019-06-07,0.125
2019-06-12,0.125
2019-06-17,0.125
2019-06-22,0.0625
2019-06-27,0.1875
2019-07-02,0.1875
2019-07-07,0.1875
2019-07-12,0.1875
2019-07-17,0.1875
2019-07-22,0.0
2019-07-27,0.125
2019-08-01,0.0625
2019-08-06,0.125
2019-08-11,0.125
2019-08-16,0.1875
2019-08-21,0.1875
2019-08-26,0.3125
2019-09-04,0.375
2019-09-09,0.375
2019-09-14,0.5
2019-09-19,0.5
2019-09-24,0.25
2019-09-29,0.1875
2019-10-04,0.125
2019-10-09,0.125
2019-10-14,0.3125
2019-10-19,0.25
2019-10-24,0.1875
2019-10-29,0.125
2019-11-03,0.125
2019-11-08,0.125
2019-11-13,0.125
2019-11-18,0.125
2019-11-23,0.125
2019-11-28,0.125
2019-12-03,0.125
2019-12-08,0.125
2019-12-13,0.1875
2019-12-18,0.0625
2019-12-23,0.0625
2019-12-28,0.0
2020-01-02,0.0
2020-01-07,0.0
2020-01-12,0.0
2020-01-17,0.0625
2020-01-22,0.0625
2020-01-27,0.0
2020-02-01,0.0
2020-02-06,0.0625
2020-02-11,0.0625
2020-02-16,0.0625
2020-02-21,0.0625
2020-02-26,0.25
2020-03-02,0.3125
2020-03-07,0.5
2020-03-12,0.625
2020-03-17,0.625
2020-03-22,0.5625
2020-03-27,0.375
2020-04-01,0.3125
2020-04-06,0.375
2020-04-11,0.375
2020-04-16,0.3125
2020-04-21,0.3125
2020-04-26,0.3125
2020-05-01,0.3125
2020-05-06,0.25
2020-05-11,0.25
2020-05-16,0.3125
2020-05-21,0.125
2020-05-26,0.125
2020-05-31,0.125
2020-06-05,0.125
2020-06-10,0.125
2020-06-15,0.3125
2020-06-20,0.3125
2020-06-25,0.1875
2020-06-30,0.25
2020-07-05,0.25
2020-07-10,0.375
2020-07-15,0.375
2020-07-20,0.375
2020-07-25,0.3125
2020-07-30,0.3125
2020-08-04,0.375
2020-08-09,0.3125
2020-08-14,0.125
2020-08-19,0.125
2020-08-24,0.125
2020-08-29,0.0625
2020-09-03,0.0625
2020-09-08,0.125
2020-09-13,0.0625
2020-09-18,0.0625
2020-09-23,0.0625
2020-09-28,0.0625
2020-10-03,0.0625
2020-10-08,0.0625
2020-10-13,0.0625
2020-10-18,0.0625
2020-10-23,0.0625
2020-10-28,0.0625
2020-11-02,0.0625
2020-11-07,0.125
2020-11-12,0.0625
2020-11-17,0.0625
2020-11-22,0.0625
2020-11-27,0.0625
2020-12-02,0.0625
2020-12-07,0.0625
2020-12-12,0.0625
2020-12-17,0.125
2020-12-22,0.0625
2020-12-27,0.0625
2021-01-01,0.0625
2021-01-06,0.0625
2021-01-11,0.0625
2021-01-16,0.0
2021-01-21,0.0
2021-01-26,0.0
2021-01-31,0.0
2021-02-05,0.0625
2021-02-10,0.0
2021-02-15,0.0
2021-02-20,0.0625
2021-02-25,0.0625
2021-03-02,0.125
2021-03-07,0.125
2021-03-12,0.125
2021-03-17,0.125
2021-03-22,0.0625
2021-03-27,0.125
2021-04-01,0.125
2021-04-06,0.125
2021-04-11,0.125
2021-04-16,0.125
2021-04-21,0.125
2021-04-26,0.125
2021-05-01,0.0625
2021-05-06,0.0625
2021-05-11,0.0
2021-05-16,0.125
2021-05-21,0.0625
2021-05-26,0.0
2021-05-31,0.0625
2021-06-05,0.0625
2021-06-10,0.0625
2021-06-15,0.0625
2021-06-20,0.125
2021-06-25,0.125
2021-06-30,0.125
2021-07-05,0.125
2021-07-10,0.0625
2021-07-15,0.0
2021-07-20,0.0
2021-07-25,0.0
2021-07-30,0.0625
2021-08-04,0.0625
2021-08-09,0.0
2021-08-14,0.0
2021-08-19,0.0
2021-08-24,0.0
2021-08-29,0.0
2021-09-03,0.0
2021-09-08,0.0
2021-09-13,0.0
2021-09-18,0.0
2021-09-23,0.0
2021-09-28,0.0
2021-10-03,0.0625
2021-10-08,0.0625
2021-10-13,0.0625
2021-10-18,0.0625
2021-10-23,0.0
2021-10-28,0.0
2021-11-02,0.0
2021-11-07,0.0
2021-11-12,0.0
2021-11-17,0.0
2021-11-22,0.0
2021-11-27,0.125
2021-12-02,0.125
2021-12-07,0.125
